"Age"	"Adjective"	"Function"	"Priming"	"Gender"	"Occupation"	"ConversationType"	"AudienceSize"	"really"	"Frequency"	"Gradabilty"	"SemanticCategory"
"26-40"	"good"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	27.8481	"NotGradable"	"Value"
"26-40"	"good"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	27.8481	"NotGradable"	"Value"
"26-40"	"good"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	27.8481	"NotGradable"	"Value"
"17-25"	"nice"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	7.29282	"NotGradable"	"HumanPropensity"
"41-80"	"other"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	0.61728	"NotGradable"	"Value"
"41-80"	"good"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	20.98765	"NotGradable"	"Value"
"17-25"	"other"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	1	4.64088	"GradabilityUndetermined"	"Dimension"
"17-25"	"other"	"Attributive"	"Prime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	1	0.44199	"NotGradable"	"PhysicalProperty"
"17-25"	"other"	"Predicative"	"Prime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	1	0.44199	"NotGradable"	"PhysicalProperty"
"17-25"	"nice"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	7.29282	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"Attributive"	"Prime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	0.1105	"NotGradable"	"PhysicalProperty"
"17-25"	"nice"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	7.29282	"NotGradable"	"HumanPropensity"
"17-25"	"good"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	20.55249	"NotGradable"	"Value"
"17-25"	"nice"	"Attributive"	"Prime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	7.29282	"NotGradable"	"HumanPropensity"
"17-25"	"funny"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	3.20442	"NotGradable"	"HumanPropensity"
"17-25"	"good"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	20.55249	"NotGradable"	"Value"
"26-40"	"good"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	27.8481	"NotGradable"	"Value"
"26-40"	"good"	"Predicative"	"Prime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	27.8481	"NotGradable"	"Value"
"26-40"	"good"	"Attributive"	"Prime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	27.8481	"NotGradable"	"Value"
"17-25"	"good"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	20.55249	"NotGradable"	"Value"
"17-25"	"funny"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	3.20442	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"Predicative"	"Prime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	1.43646	"NotGradable"	"HumanPropensity"
"17-25"	"nice"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	7.29282	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	0.66298	"NotGradable"	"Value"
"17-25"	"other"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	1.65746	"NotGradable"	"Value"
"17-25"	"nice"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	7.29282	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	0.66298	"NotGradable"	"PhysicalProperty"
"17-25"	"good"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	20.55249	"NotGradable"	"Value"
"17-25"	"other"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	1.32597	"NotGradable"	"NoSemType"
"17-25"	"good"	"Predicative"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"SameSex"	"2"	1	20.55249	"NotGradable"	"Value"
"17-25"	"good"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"2"	0	20.55249	"NotGradable"	"Value"
"17-25"	"good"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	1	20.55249	"NotGradable"	"Value"
"17-25"	"bad"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	2.76243	"NotGradable"	"Value"
"26-40"	"other"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	1.63265	"Gradable"	"HumanPropensity"
"41-80"	"good"	"Attributive"	"NoPrime"	"Male"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	16.07143	"NotGradable"	"Value"
"17-25"	"interesting"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	0	2.09945	"Gradable"	"Value"
"41-80"	"bad"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"2"	1	0.89286	"NotGradable"	"Value"
"17-25"	"other"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	0.77348	"NotGradable"	"PhysicalProperty"
"17-25"	"other"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"MixedSex"	"3+"	0	1.65746	"NotGradable"	"Value"
"17-25"	"other"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	0.66298	"NotGradable"	"Value"
"41-80"	"nice"	"Predicative"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	3.57143	"NotGradable"	"HumanPropensity"
"17-25"	"other"	"Attributive"	"NoPrime"	"Female"	"AcademicManagerialProfessionals"	"SameSex"	"3+"	0	0.1105	"NotGradable"	"HumanPropensity"
