Gender	Age	ConversationType	Priming	SUFLike
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	no
Men	Old	MixedGender	NoPrime	yes
